N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 30일 (Mon)
1#,[뉴스 정치]#,171석 민주당 ‘내로남불 역풍 불라’ 윤희숙 사퇴안 처리 주저#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003130559
2#,[뉴스 정치]#,"윤석열 언론특보 이진숙 ""언론노조는 대한민국에 해악""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=006&aid=0000109440
3#,[뉴스 정치]#,"국힘 ""윤희숙 의사 존중, 사퇴안 가결""…민주, 일축 속 곤혹#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=001&aid=0012628486
4#,[뉴스 정치]#,"여야, 언론중재법 대치...윤희숙 사퇴안 처리 불투명#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001633641
5#,[뉴스 정치]#,"내일 韓美英 항모전단 훈련...北, 한미연합훈련 뒤 또 반발하나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001633624
6#,[뉴스 경제]#,집값 총대 멘 이주열 vs 고용 짊어진 파월#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003130599
7#,[뉴스 경제]#,암호화폐 잘나갈 때 우르르…10대도 40억 쏟아부었다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003130592
8#,[뉴스 경제]#,‘빚투족’에 앞다퉈 경고… “0.25%는 강력한 시그널”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001467222
9#,[뉴스 경제]#,윤석열 1호 공약은 부동산 “청년·신혼에 원가·반값 주택 50만호”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003130562
10#,[뉴스 경제]#,"'나홀로 임단협' 르노삼성, 노사 합의 마침표 찍을까#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=629&aid=0000103079
11#,[뉴스 IT/과학]#,"방역당국 ""4차 유행 일단 억제했지만 풀면 급격 확산""...김 총리 ""추석 전 반전시켜야""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=584&aid=0000015743
12#,[뉴스 IT/과학]#,"SK C&C, 'AI 뇌출혈 영상판독' 식약처 허가 받아#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000621088
13#,[뉴스 IT/과학]#,‘앞뒤가 똑같은 전화번호 1577’…아무나 못 받는다고?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003094857
14#,[뉴스 IT/과학]#,무인기 비행 중 방전되면 어쩌나…‘총 쏘듯’ 동력 공급하는 기술 나왔다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003094846
15#,[뉴스 IT/과학]#,전기차만 있나? 전기선박도 있다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003094843
16#,[뉴스 CNBC]#,"Walmart should be under tighter scrutiny because of wrongful firing of employee with Down syndrome, EEOC says#",https://www.cnbc.com/2021/08/28/walmart-should-be-under-tighter-scrutiny-because-of-firing-of-employee-with-down-syndrome-eeoc-says.html
17#,[뉴스 CNBC]#,"How much you'll need to invest every month to earn $35,000 per year in interest for retirement#",https://www.cnbc.com/2021/08/27/interest-only-retirement-how-much-you-need-to-invest-every-month.html
18#,[뉴스 CNBC]#,This 35-year-old left the U.S. for Croatia: 'I live on $47 a day — here’s how I spend my time'#,https://www.cnbc.com/2021/08/21/this-35-year-old-expat-lives-in-croatia-on-1424-per-month-heres-a-look-at-his-typical-day.html
19#,[뉴스 CNBC]#,"After wobbly liftoff, Astra Space rocket fails to reach orbit once again#",https://www.cnbc.com/2021/08/28/watch-rocket-builder-astra-make-second-attempt-at-a-rocket-launch-from-alaska.html
20#,[뉴스 CNBC]#,"Fed is stoking real estate price bubble that will wipe out home equity, investor Peter Boockvar warns#",https://www.cnbc.com/2021/08/27/housing-price-bubble-will-wipe-out-wealth-peter-boockvar-warns.html
20#,[경제 환율]#,"1,170.00@0.50(-0.04%) 하락"
21#,[경제 나스닥]#,"15,129.50@183.69(+1.23%) 상승"
22#,[경제 SP]#,"4,509.37@39.37(+0.88%) 상승"
